CaseID,Activity,Timestamp
1,Assign seriousness-complete,15433.246967592593
1,Take in charge ticket-complete,15433.247141203703
1,Resolve ticket-complete,15435.261018518519
1,Closed-complete,15479.250324074073
2,Assign seriousness-complete,14911.301458333333
2,Take in charge ticket-complete,14916.594571759259
2,Resolve ticket-complete,14916.598113425925
2,Closed-complete,14943.389097222222
3,Assign seriousness-complete,14958.522141203704
3,Take in charge ticket-complete,14959.250775462962
3,Resolve ticket-complete,14959.255775462963
3,Closed-complete,15017.52826388889
4,Assign seriousness-complete,15433.422592592593
4,Take in charge ticket-complete,15433.44829861111
4,Resolve ticket-complete,15433.449560185185
4,Take in charge ticket-complete,15433.468773148148
4,Resolve ticket-complete,15433.546851851852
4,Closed-complete,15485.423935185185
5,Assign seriousness-complete,15272.509699074075
5,Take in charge ticket-complete,15272.540914351852
5,Resolve ticket-complete,15273.288032407407
5,Closed-complete,15318.59787037037
6,Insert ticket-complete,14736.418298611112
6,Assign seriousness-complete,14736.418449074074
6,Take in charge ticket-complete,14753.310046296296
6,Resolve ticket-complete,14754.524814814815
6,Closed-complete,14769.524953703703
7,Assign seriousness-complete,14650.284953703704
7,Take in charge ticket-complete,14687.282708333334
7,Resolve ticket-complete,14687.282789351852
7,Closed-complete,14702.19974537037
8,Assign seriousness-complete,15329.55880787037
8,Take in charge ticket-complete,15329.559421296297
8,Resolve ticket-complete,15330.330358796296
8,Closed-complete,15360.562858796296
9,Assign seriousness-complete,15160.449398148148
9,Take in charge ticket-complete,15160.449560185185
9,Resolve ticket-complete,15160.45320601852
9,Closed-complete,15191.451631944445
10,Assign seriousness-complete,15392.511712962963
10,Take in charge ticket-complete,15392.593136574074
10,Take in charge ticket-complete,15392.599965277777
10,Resolve ticket-complete,15393.32474537037
10,Closed-complete,15423.514108796297
11,Assign seriousness-complete,15261.174155092593
11,Take in charge ticket-complete,15280.59574074074
11,Resolve ticket-complete,15287.480289351852
11,Closed-complete,15302.581886574075
12,Assign seriousness-complete,14797.204212962963
12,Take in charge ticket-complete,14799.299212962964
12,Resolve ticket-complete,14799.29951388889
12,Closed-complete,14828.208587962963
13,Assign seriousness-complete,14988.552326388888
13,Take in charge ticket-complete,15001.254594907406
13,Resolve ticket-complete,15001.34670138889
13,Closed-complete,15031.346956018519
14,Assign seriousness-complete,14726.284675925926
14,Take in charge ticket-complete,14768.338148148148
14,Resolve ticket-complete,14768.490462962964
14,Closed-complete,14783.490601851852
15,Assign seriousness-complete,14973.310613425925
15,Take in charge ticket-complete,14973.468101851851
15,Resolve ticket-complete,14973.55318287037
15,Closed-complete,15021.312824074073
16,Assign seriousness-complete,15064.186655092593
16,Take in charge ticket-complete,15064.188877314815
16,Wait-complete,15064.235891203703
16,Take in charge ticket-complete,15064.333657407407
16,Resolve ticket-complete,15064.333807870371
16,Closed-complete,15099.285254629629
17,Assign seriousness-complete,15302.501574074075
17,Take in charge ticket-complete,15302.50179398148
17,Resolve ticket-complete,15320.294988425925
17,Closed-complete,15335.295185185185
18,Assign seriousness-complete,14995.324537037037
18,Take in charge ticket-complete,15012.305381944445
18,Resolve ticket-complete,15015.292592592592
18,Closed-complete,15030.292766203704
19,Assign seriousness-complete,15091.193564814816
19,Take in charge ticket-complete,15091.407094907407
19,Resolve ticket-complete,15092.220925925925
19,Closed-complete,15129.194791666667
20,Assign seriousness-complete,15357.26076388889
20,Resolve ticket-complete,15357.324039351852
20,Closed-complete,15409.264386574074
21,Assign seriousness-complete,15154.296388888888
21,Take in charge ticket-complete,15155.415543981482
21,Resolve ticket-complete,15160.189386574075
21,Closed-complete,15185.298842592592
22,Assign seriousness-complete,15015.384108796296
22,Take in charge ticket-complete,15015.384409722223
22,Resolve ticket-complete,15015.555578703703
22,Resolve ticket-complete,15035.474976851852
22,Take in charge ticket-complete,15035.475081018518
22,Wait-complete,15035.561018518518
22,Take in charge ticket-complete,15037.317939814815
22,Resolve ticket-complete,15037.317997685184
22,Closed-complete,15067.234965277778
23,Assign seriousness-complete,15419.2484375
23,Take in charge ticket-complete,15419.248784722222
23,Resolve ticket-complete,15419.263148148148
23,Closed-complete,15451.542083333334
24,Assign seriousness-complete,14957.364189814814
24,Take in charge ticket-complete,14957.36454861111
24,Resolve ticket-complete,14957.364722222223
24,Closed-complete,15001.368414351851
25,Assign seriousness-complete,15141.39142361111
25,Take in charge ticket-complete,15141.410474537037
25,Resolve ticket-complete,15141.444340277778
25,Closed-complete,15185.396215277779
26,Assign seriousness-complete,15440.247592592592
26,Take in charge ticket-complete,15440.2690625
26,Resolve ticket-complete,15440.328796296297
26,Closed-complete,15486.250231481481
27,Assign seriousness-complete,14942.58980324074
27,Take in charge ticket-complete,14942.597210648148
27,Resolve ticket-complete,14942.5978125
27,Closed-complete,14974.590601851853
28,Assign seriousness-complete,15359.505717592592
28,Take in charge ticket-complete,15364.407164351851
28,Resolve ticket-complete,15401.361793981481
28,Closed-complete,15416.36201388889
29,Assign seriousness-complete,15119.283541666666
29,Take in charge ticket-complete,15119.283831018518
29,Resolve ticket-complete,15124.503171296295
29,Closed-complete,15156.285150462963
30,Insert ticket-complete,14944.488182870371
30,Assign seriousness-complete,14945.505243055555
30,Take in charge ticket-complete,14945.505335648148
30,Resolve ticket-complete,14945.5059375
30,Closed-complete,14975.506145833333
31,Assign seriousness-complete,15303.523541666667
31,Take in charge ticket-complete,15303.533194444444
31,Wait-complete,15307.53304398148
31,Resolve ticket-complete,15310.601354166667
31,Closed-complete,15346.597523148148
32,Assign seriousness-complete,15355.370150462963
32,Take in charge ticket-complete,15355.374895833333
32,Resolve ticket-complete,15355.609652777777
32,Resolve ticket-complete,15355.609664351852
32,Closed-complete,15386.375659722222
33,Assign seriousness-complete,14896.453622685185
33,Take in charge ticket-complete,14897.418472222222
33,Wait-complete,14910.508969907407
33,Wait-complete,14910.508969907407
33,Take in charge ticket-complete,14911.445844907408
33,Resolve ticket-complete,14917.283472222221
33,Closed-complete,14947.283993055555
34,Assign seriousness-complete,15273.535902777778
34,Take in charge ticket-complete,15278.554895833333
34,Wait-complete,15285.281157407408
34,Resolve ticket-complete,15299.264849537038
34,Closed-complete,15314.265
35,Assign seriousness-complete,15369.397893518519
35,Resolve ticket-complete,15369.39818287037
35,Closed-complete,15413.40306712963
36,Assign seriousness-complete,14911.277349537037
36,Take in charge ticket-complete,14915.539039351852
36,Resolve ticket-complete,14915.56880787037
36,Closed-complete,14943.361747685185
37,Assign seriousness-complete,15427.394872685185
37,Take in charge ticket-complete,15427.394988425925
37,Resolve ticket-complete,15427.522881944444
37,Resolve ticket-complete,15427.522881944444
37,Closed-complete,15458.396030092592
38,Assign seriousness-complete,15070.524872685186
38,Take in charge ticket-complete,15070.525046296296
38,Wait-complete,15071.528738425926
38,Take in charge ticket-complete,15077.242523148148
38,Resolve ticket-complete,15077.24261574074
38,Closed-complete,15122.243356481482
39,Assign seriousness-complete,15233.169895833333
39,Take in charge ticket-complete,15233.179305555555
39,Resolve ticket-complete,15233.503310185186
39,Closed-complete,15288.257465277778
40,Assign seriousness-complete,15078.537824074074
40,Assign seriousness-complete,15078.538032407407
40,Wait-complete,15079.320358796296
40,Take in charge ticket-complete,15091.312546296296
40,Wait-complete,15091.312650462964
40,Take in charge ticket-complete,15100.279317129629
40,Resolve ticket-complete,15100.27949074074
40,Closed-complete,15115.279768518518
41,Assign seriousness-complete,14973.54392361111
41,Take in charge ticket-complete,14985.27787037037
41,Resolve ticket-complete,14987.406458333333
41,Closed-complete,15017.549143518518
